configno	chunksize	compressionalgo	c_level
1	1500,384	NA	NA
2	1500,384	gzip	4
3	1500,384	gzip	6
4	1500,384	gzip	9
5	1500,384	blosc2-blosclz	1
6	1500,384	blosc2-blosclz	9
7	1500,384	blosc2-lz4	1
8	1500,384	blosc2-lz4	9
9	1500,384	blosc2-lz4hc	1
10	1500,384	blosc2-lz4hc	9
11	1500,384	blosc2-zstd	1
12	1500,384	blosc2-zstd	5
13	1500,384	blosc2-zstd	9
14	1500,384	lz4	1073741824
15	1500,384	lzf	NA
16	1500,384	zstd	3
17	1500,384	zstd	12
18	1500,384	zstd	22
19	15000,384	NA	NA
20	15000,384	gzip	4
21	15000,384	gzip	6
22	15000,384	gzip	9
23	15000,384	blosc2-blosclz	1
24	15000,384	blosc2-blosclz	9
25	15000,384	blosc2-lz4	1
26	15000,384	blosc2-lz4	9
27	15000,384	blosc2-lz4hc	1
28	15000,384	blosc2-lz4hc	9
29	15000,384	blosc2-zstd	1
30	15000,384	blosc2-zstd	5
31	15000,384	blosc2-zstd	9
32	15000,384	lz4	1073741824
33	15000,384	lzf	NA
34	15000,384	zstd	3
35	15000,384	zstd	12
36	15000,384	zstd	22
37	6000,96	NA	NA
38	6000,96	gzip	4
39	6000,96	gzip	6
40	6000,96	gzip	9
41	6000,96	blosc2-blosclz	1
42	6000,96	blosc2-blosclz	9
43	6000,96	blosc2-lz4	1
44	6000,96	blosc2-lz4	9
45	6000,96	blosc2-lz4hc	1
46	6000,96	blosc2-lz4hc	9
47	6000,96	blosc2-zstd	1
48	6000,96	blosc2-zstd	5
49	6000,96	blosc2-zstd	9
50	6000,96	lz4	1073741824
51	6000,96	lzf	NA
52	6000,96	zstd	3
53	6000,96	zstd	12
54	6000,96	zstd	22
55	60000,96	NA	NA
56	60000,96	gzip	4
57	60000,96	gzip	6
58	60000,96	gzip	9
59	60000,96	blosc2-blosclz	1
60	60000,96	blosc2-blosclz	9
61	60000,96	blosc2-lz4	1
62	60000,96	blosc2-lz4	9
63	60000,96	blosc2-lz4hc	1
64	60000,96	blosc2-lz4hc	9
65	60000,96	blosc2-zstd	1
66	60000,96	blosc2-zstd	5
67	60000,96	blosc2-zstd	9
68	60000,96	lz4	1073741824
69	60000,96	lzf	NA
70	60000,96	zstd	3
71	60000,96	zstd	12
72	60000,96	zstd	22
73	180000,32	NA	NA
74	180000,32	gzip	4
75	180000,32	gzip	6
76	180000,32	gzip	9
77	180000,32	blosc2-blosclz	1
78	180000,32	blosc2-blosclz	9
79	180000,32	blosc2-lz4	1
80	180000,32	blosc2-lz4	9
81	180000,32	blosc2-lz4hc	1
82	180000,32	blosc2-lz4hc	9
83	180000,32	blosc2-zstd	1
84	180000,32	blosc2-zstd	5
85	180000,32	blosc2-zstd	9
86	180000,32	lz4	1073741824
87	180000,32	lzf	NA
88	180000,32	zstd	3
89	180000,32	zstd	12
90	180000,32	zstd	22
91	TRUE	gzip	4
