configno	chunksize	compressionalgo	filterid	algo_id	c_level
1	2,796,512	NA	NA	NA	NA
2	2,796,512	gzip	NA	NA	4
3	2,796,512	gzip	NA	NA	6
4	2,796,512	gzip	NA	NA	9
5	2,796,512	blosc-blosclz	32001	0	1
6	2,796,512	blosc-blosclz	32001	0	9
7	2,796,512	blosc-lz4	32001	1	1
8	2,796,512	blosc-lz4	32001	1	9
9	2,796,512	blosc-lz4hc	32001	2	1
10	2,796,512	blosc-lz4hc	32001	2	9
11	2,796,512	blosc-zstd	32001	5	1
12	2,796,512	blosc-zstd	32001	5	5
13	2,796,512	blosc-zstd	32001	5	9
14	2,796,512	lz4	32004	NA	1073741824
15	2,796,512	lzf	NA	NA	NA
16	2,796,512	zstd	32015	NA	3
17	2,796,512	zstd	32015	NA	12
18	2,796,512	zstd	32015	NA	22
19	20,796,512	NA	NA	NA	NA
20	20,796,512	gzip	NA	NA	4
21	20,796,512	gzip	NA	NA	6
22	20,796,512	gzip	NA	NA	9
23	20,796,512	blosc-blosclz	32001	0	1
24	20,796,512	blosc-blosclz	32001	0	9
25	20,796,512	blosc-lz4	32001	1	1
26	20,796,512	blosc-lz4	32001	1	9
27	20,796,512	blosc-lz4hc	32001	2	1
28	20,796,512	blosc-lz4hc	32001	2	9
29	20,796,512	blosc-zstd	32001	5	1
30	20,796,512	blosc-zstd	32001	5	5
31	20,796,512	blosc-zstd	32001	5	9
32	20,796,512	lz4	32004	NA	1073741824
33	20,796,512	lzf	NA	NA	NA
34	20,796,512	zstd	32015	NA	3
35	20,796,512	zstd	32015	NA	12
36	20,796,512	zstd	32015	NA	22
37	32,128,128	NA	NA	NA	NA
38	32,128,128	gzip	NA	NA	4
39	32,128,128	gzip	NA	NA	6
40	32,128,128	gzip	NA	NA	9
41	32,128,128	blosc-blosclz	32001	0	1
42	32,128,128	blosc-blosclz	32001	0	9
43	32,128,128	blosc-lz4	32001	1	1
44	32,128,128	blosc-lz4	32001	1	9
45	32,128,128	blosc-lz4hc	32001	2	1
46	32,128,128	blosc-lz4hc	32001	2	9
47	32,128,128	blosc-zstd	32001	5	1
48	32,128,128	blosc-zstd	32001	5	5
49	32,128,128	blosc-zstd	32001	5	9
50	32,128,128	lz4	32004	NA	1073741824
51	32,128,128	lzf	NA	NA	NA
52	32,128,128	zstd	32015	NA	3
53	32,128,128	zstd	32015	NA	12
54	32,128,128	zstd	32015	NA	22
55	320,128,128	NA	NA	NA	NA
56	320,128,128	gzip	NA	NA	4
57	320,128,128	gzip	NA	NA	6
58	320,128,128	gzip	NA	NA	9
59	320,128,128	blosc-blosclz	32001	0	1
60	320,128,128	blosc-blosclz	32001	0	9
61	320,128,128	blosc-lz4	32001	1	1
62	320,128,128	blosc-lz4	32001	1	9
63	320,128,128	blosc-lz4hc	32001	2	1
64	320,128,128	blosc-lz4hc	32001	2	9
65	320,128,128	blosc-zstd	32001	5	1
66	320,128,128	blosc-zstd	32001	5	5
67	320,128,128	blosc-zstd	32001	5	9
68	320,128,128	lz4	32004	NA	1073741824
69	320,128,128	lzf	NA	NA	NA
70	320,128,128	zstd	32015	NA	3
71	320,128,128	zstd	32015	NA	12
72	320,128,128	zstd	32015	NA	22
73	10240,16,16	NA	NA	NA	NA
74	10240,16,16	gzip	NA	NA	4
75	10240,16,16	gzip	NA	NA	6
76	10240,16,16	gzip	NA	NA	9
77	10240,16,16	blosc-blosclz	32001	0	1
78	10240,16,16	blosc-blosclz	32001	0	9
79	10240,16,16	blosc-lz4	32001	1	1
80	10240,16,16	blosc-lz4	32001	1	9
81	10240,16,16	blosc-lz4hc	32001	2	1
82	10240,16,16	blosc-lz4hc	32001	2	9
83	10240,16,16	blosc-zstd	32001	5	1
84	10240,16,16	blosc-zstd	32001	5	5
85	10240,16,16	blosc-zstd	32001	5	9
86	10240,16,16	lz4	32004	NA	1073741824
87	10240,16,16	lzf	NA	NA	NA
88	10240,16,16	zstd	32015	NA	3
89	10240,16,16	zstd	32015	NA	12
90	10240,16,16	zstd	32015	NA	22
91	TRUE	gzip	NA	NA	4
