configno	chunksize	compressionalgo	c_level
1	2,512,512	NA	NA
2	2,512,512	gzip	4
3	2,512,512	gzip	6
4	2,512,512	gzip	9
5	2,512,512	blosc2-blosclz	1
6	2,512,512	blosc2-blosclz	9
7	2,512,512	blosc2-lz4	1
8	2,512,512	blosc2-lz4	9
9	2,512,512	blosc2-lz4hc	1
10	2,512,512	blosc2-lz4hc	9
11	2,512,512	blosc2-zstd	1
12	2,512,512	blosc2-zstd	5
13	2,512,512	blosc2-zstd	9
14	2,512,512	lz4	1073741824
15	2,512,512	lzf	NA
16	2,512,512	zstd	3
17	2,512,512	zstd	12
18	2,512,512	zstd	22
19	20,512,512	NA	NA
20	20,512,512	gzip	4
21	20,512,512	gzip	6
22	20,512,512	gzip	9
23	20,512,512	blosc2-blosclz	1
24	20,512,512	blosc2-blosclz	9
25	20,512,512	blosc2-lz4	1
26	20,512,512	blosc2-lz4	9
27	20,512,512	blosc2-lz4hc	1
28	20,512,512	blosc2-lz4hc	9
29	20,512,512	blosc2-zstd	1
30	20,512,512	blosc2-zstd	5
31	20,512,512	blosc2-zstd	9
32	20,512,512	lz4	1073741824
33	20,512,512	lzf	NA
34	20,512,512	zstd	3
35	20,512,512	zstd	12
36	20,512,512	zstd	22
37	32,128,128	NA	NA
38	32,128,128	gzip	4
39	32,128,128	gzip	6
40	32,128,128	gzip	9
41	32,128,128	blosc2-blosclz	1
42	32,128,128	blosc2-blosclz	9
43	32,128,128	blosc2-lz4	1
44	32,128,128	blosc2-lz4	9
45	32,128,128	blosc2-lz4hc	1
46	32,128,128	blosc2-lz4hc	9
47	32,128,128	blosc2-zstd	1
48	32,128,128	blosc2-zstd	5
49	32,128,128	blosc2-zstd	9
50	32,128,128	lz4	1073741824
51	32,128,128	lzf	NA
52	32,128,128	zstd	3
53	32,128,128	zstd	12
54	32,128,128	zstd	22
55	320,128,128	NA	NA
56	320,128,128	gzip	4
57	320,128,128	gzip	6
58	320,128,128	gzip	9
59	320,128,128	blosc2-blosclz	1
60	320,128,128	blosc2-blosclz	9
61	320,128,128	blosc2-lz4	1
62	320,128,128	blosc2-lz4	9
63	320,128,128	blosc2-lz4hc	1
64	320,128,128	blosc2-lz4hc	9
65	320,128,128	blosc2-zstd	1
66	320,128,128	blosc2-zstd	5
67	320,128,128	blosc2-zstd	9
68	320,128,128	lz4	1073741824
69	320,128,128	lzf	NA
70	320,128,128	zstd	3
71	320,128,128	zstd	12
72	320,128,128	zstd	22
73	10240,16,16	NA	NA
74	10240,16,16	gzip	4
75	10240,16,16	gzip	6
76	10240,16,16	gzip	9
77	10240,16,16	blosc2-blosclz	1
78	10240,16,16	blosc2-blosclz	9
79	10240,16,16	blosc2-lz4	1
80	10240,16,16	blosc2-lz4	9
81	10240,16,16	blosc2-lz4hc	1
82	10240,16,16	blosc2-lz4hc	9
83	10240,16,16	blosc2-zstd	1
84	10240,16,16	blosc2-zstd	5
85	10240,16,16	blosc2-zstd	9
86	10240,16,16	lz4	1073741824
87	10240,16,16	lzf	NA
88	10240,16,16	zstd	3
89	10240,16,16	zstd	12
90	10240,16,16	zstd	22
91	TRUE	gzip	4
